variable_id,mz,rt,QC_01,QC_02,QC_03,QC_04,QC_05,QC_06,QC_07,QC_08,QC_09,QC_10,QC_11,QC_12,S_001,S_002,S_003,S_004,S_005,S_006,S_007,S_008,S_009,S_010,S_011,S_012,S_013,S_014,S_015,S_016,S_017,S_018,S_019,S_020,S_021,S_022,S_023,S_024,S_025,S_026,S_027,S_028,S_029,S_030,S_031,S_032,S_033,S_034,S_035,S_036,S_037,S_038,S_039,S_040,S_041,S_042,S_043,S_044,S_045,S_046,S_047,S_048,S_049,S_050,S_051,S_052,S_053,S_054,S_055,S_056,S_057,S_058,S_059,S_060,S_061,S_062,S_063,S_064,S_065,S_066,S_068,S_069,S_070,S_071,S_072,S_073,S_074,S_075,S_076,S_077,S_078,S_079,S_080,S_081,S_082,S_083,S_084,S_085,S_086,S_087,S_088,S_089,S_090,S_091,S_092,S_093,S_094,S_095,S_096,S_097,S_098,S_099,S_100,S_101,S_102,S_103,S_104,S_105,S_106,S_107,S_108,S_109,S_110,S_111,S_112,S_113,S_114,S_115,S_116,S_117,S_118,S_119,S_120
M115T340_NEG,115.07550392182952,339.8655090332031,4313086.477287508,4412274.288262485,NA,4820961.305050019,4581540.41185,6359558.711558037,4273199.054024998,NA,NA,NA,7127904.381599989,5220801.645145816,NA,25899681.935249966,NA,NA,NA,NA,NA,NA,6432687.256333346,NA,47238229.5313081,NA,NA,NA,20766646.41364838,NA,NA,NA,5687345.862857156,6670881.727999959,NA,5515454.356650027,NA,NA,18623054.844732154,55565807.57437507,35265137.43599996,NA,17778924.799399998,NA,NA,NA,56170272.393214196,159882126.40229154,NA,21699660.55579999,7524590.81641406,NA,NA,17296561.045637492,NA,4707744.269260406,NA,17723018.77134997,NA,9078369.572460977,NA,NA,NA,NA,NA,NA,NA,8274384.766914029,10687356.126803545,NA,NA,NA,NA,NA,3874717.0851375232,NA,13404946.466775008,39640966.04774997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54325561.84493224,NA,NA,NA,NA,16680567.507956244,59466603.42910701,43081281.274375,34749379.95552077,19604651.156324986,NA,16658924.33489999,3725690.3565249955,NA,NA,NA,NA,NA,14610701.937656244,65731215.36101822,NA,NA,NA,NA,NA,NA,NA,NA,16223812.869803544,NA,NA,NA,NA,NA,NA,NA,NA,22101586.3405536,NA,NA,NA,NA,8935226.09378438,NA
M139T664_NEG,139.11174528092153,663.860595703125,32363523.693902593,42318377.828969315,42693014.7696634,39632687.552839786,38348094.57157501,37249387.87248453,36718738.06214064,203116476.3413521,202394736.0778756,NA,NA,26359884.3247031,73517999.64169377,51090935.59710587,25943811.38908331,38067128.03922241,35089981.64045564,32513720.627050802,40334510.16643737,52460093.187074065,23674269.46823197,24752342.77583071,28213215.324099798,NA,31017510.57056069,58793189.72780546,32346774.165641453,28872739.655013025,59754301.7914505,30712449.536056582,NA,56064313.86716839,NA,NA,56012441.15371164,32275294.949247763,NA,43191425.9504373,60445354.12097837,NA,56090540.16945326,25717070.693679694,32704309.976617508,NA,NA,75933574.79695459,NA,NA,58982062.98653129,NA,NA,46269819.89861117,25373458.157287475,21173298.283082426,NA,32234151.24038003,53836282.10834798,NA,NA,56794096.676218785,NA,22449702.070497468,44348618.71788487,103889591.86689277,46302649.324671924,34725495.34624836,NA,47371709.41901913,NA,78405520.53657706,42007554.97453595,40196008.67539581,49581028.18820081,NA,40150925.47496588,29740200.659929633,59507409.69225005,NA,30691759.81660597,33117759.257154007,38292446.423377246,47162612.826333314,24079630.442793176,75831829.40323542,62520418.15262311,33990521.81692931,NA,NA,NA,22264627.12568784,20554009.827678524,56396845.003578864,58337595.47358693,31288385.372689433,41106798.24587504,34893375.983808845,NA,36243958.7405879,NA,33660186.17655082,38395457.327051386,40798118.22240003,43759558.77181038,22773708.995069202,129641502.85539137,19164565.435893748,38668893.13662015,NA,NA,NA,NA,NA,NA,NA,43635075.73287496,NA,NA,45476407.67221467,NA,NA,21934131.350656178,44557677.84843355,NA,NA,118198088.68145786,NA,NA,NA,NA,NA,35853598.91384376
M160T95_NEG,160.06069091621862,95.438140869140625,5936937.49389603,6726837.870022457,NA,6074411.5384875,4796486.909593752,6725565.256254295,6158224.744161913,NA,NA,NA,NA,NA,NA,NA,NA,NA,14848461.80753204,6467031.967689994,9514477.0385317709,NA,6468925.101302086,7523504.143743751,NA,5654899.057349609,NA,NA,NA,902373.3029043737,7394543.394445023,NA,NA,NA,NA,20554845.629405268,NA,NA,NA,NA,NA,NA,NA,3562777.0887588533,NA,NA,NA,NA,NA,NA,2021898.0636458322,NA,NA,NA,NA,NA,NA,NA,3004116.4636555994,1996793.723103126,4296220.300145472,5506087.245509995,NA,5040366.773359822,1249153.5881771876,NA,NA,4676671.396170146,NA,NA,NA,NA,3168090.1058803983,NA,NA,NA,1633286.8562380585,NA,NA,5978491.749691415,NA,NA,NA,NA,NA,NA,4088420.9265917414,NA,NA,7325484.346008285,NA,NA,NA,NA,NA,NA,2705786.550053795,NA,1997183.2344575808,NA,2654656.2550487495,NA,NA,NA,NA,NA,12895637.803846875,NA,NA,NA,NA,NA,7501911.659711455,NA,NA,781389.0085307813,NA,NA,NA,6117920.225750001,NA,1791075.7452524977,NA,3022976.277684571,NA,NA,NA,NA,NA,1494848.6620453133,NA,NA,NA
M175T109_NEG,175.06041526763153,109.22714233398438,13349145.5255888,9377660.07646875,14843230.157230027,10033804.407981774,10399149.470212061,11273904.328506889,9430043.065583324,10372457.789182695,11425509.420489782,11951532.831396634,12657664.76751562,NA,11859326.199652772,11942783.737552885,NA,NA,NA,NA,NA,4370123.469170456,9482309.790505756,10905727.479589846,19886851.503741473,NA,4217021.937376804,NA,NA,5207285.053372161,NA,8795902.316631768,7037995.242484377,10541278.960363448,NA,NA,4943451.548628907,7815476.186773994,8931014.592840534,NA,21595807.703106903,NA,12009020.868822116,3805977.767911659,10394459.524633227,19179878.906177368,23599664.166158658,35553154.63362812,NA,4469921.707126738,27366658.563281193,3026863.822550782,14538943.366189392,24693165.992134187,4598437.892886158,10056980.121957924,8436297.019218745,9085797.811335208,23003739.751909107,4345014.34287855,NA,37405128.835265614,10987255.817264754,6414936.995908201,14693033.106874343,11066088.300084738,NA,5971571.176066402,NA,15554809.62632031,NA,11054751.095,7010648.586784506,17027356.77668906,10420876.846413353,7355926.890888892,12025475.584916312,19015125.89484376,4607737.541503713,NA,NA,5180326.996475833,2247548.8198177097,12869753.60130312,6384271.539593754,4067090.1438153414,NA,5095563.600636365,6118975.79990625,NA,NA,5292599.730310695,4630733.878252794,NA,15760016.411406243,NA,NA,31360697.31645299,14511991.811268028,NA,14337703.89675,12315373.172999997,5739217.229984375,8608158.57552344,20494296.326385215,5113322.5836,NA,6301551.855295456,NA,NA,9556212.092357958,5841432.881177555,NA,NA,6268577.164187498,NA,NA,4263685.400733458,2998281.0531132813,19701349.877112973,NA,12104602.057257816,19505242.761144344,NA,12480101.238185696,4752543.826593747,10613581.591375,NA,NA,12846035.17090385,13832859.182427846,NA,NA
M177T459_NEG,177.05485647790087,459.10198974609375,55584491.018833295,45377823.96978403,37648567.54332689,55744196.44025632,58167206.20465823,40686571.874761045,50082985.1191042,44102430.46529319,32114805.352064732,45272055.37385869,58354795.04928,43338352.48518747,NA,NA,NA,171655617.16399857,NA,181556263.7113977,85388293.002866,NA,15036472.440372951,NA,NA,59104691.58812036,NA,135787997.7142251,NA,NA,163216599.35773236,NA,NA,NA,74064172.61562489,NA,2476200.883169263,66998410.00628207,NA,104646089.1718615,NA,NA,NA,NA,NA,81706273.99002372,63946775.39844609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148624962.45673838,NA,220090770.27593443,NA,NA,5039416.655520816,NA,52058910.51103547,NA,NA,NA,NA,NA,NA,NA,29431487.58904278,NA,73224014.37160708,NA,69366622.69411875,NA,NA,248821322.97958308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65232564.31144198,103971688.393217,NA,NA,58194047.10599985,NA,NA,26146949.535972178,52633172.62144652,NA,NA,NA,NA,106352068.84345321,NA,79665435.50911093,NA,8711006.371965615,NA,NA,193864016.1736479,NA,NA,NA,NA,NA,NA,NA,NA,24221766.783683036,115131528.94687495,NA,17054679.105106477,NA,NA,NA,29851586.581883688,NA,NA,30587242.192704394
M184T108_NEG,184.0608753553239,108.48190307617188,NA,7041609.192269942,6169574.912113072,6824852.027175924,5694801.294276615,5481131.332630079,6103373.780932812,3503465.1672259597,NA,6455625.378210937,4124475.5100488323,5771956.877798367,4810283.153671873,6980070.450605275,NA,NA,10918995.416295316,7502317.143,10984376.711347833,NA,5619795.901282985,5728979.468422322,10352102.787429787,7235918.950452185,NA,5270903.569203123,5112550.180171874,4962360.1984005645,6547862.449995851,4071671.4008496134,7440501.264413539,5783229.443062506,7641652.236577415,9506557.552900253,3418152.9593718755,5150106.82848828,2736076.989161132,5073928.192992185,3026970.4219472636,3289557.7019523443,5041596.749856771,6232534.762214161,3045656.854921877,4388622.378819645,2963626.1601927085,4056694.0662861434,NA,2143993.720762498,3349575.258088802,NA,NA,2940743.418726665,NA,4002939.823082645,6432485.676389862,6431631.608199108,13735148.395528363,4784560.507148065,8959144.028705353,9500356.851587504,1631728.3630885414,3521046.326155356,5226484.047107745,4328617.365746524,7794332.431499994,6423979.435190624,4002233.6469196766,2882204.3189744335,1340308.035565625,8760706.387766669,4230587.249889915,7488279.025400782,4337072.356139688,6782432.772937176,5405384.954266177,3779633.193574222,NA,3420213.5461250045,6869698.4083359325,7583526.516525951,NA,6939102.1326046875,3446019.1243290263,3959425.406406251,2993617.295603516,3530467.219273003,4688133.971698046,14931404.637529934,2770249.198005206,3447310.2076562503,5032078.591959738,NA,11239446.993960027,8861174.095151994,8739831.007001445,6090575.505083331,NA,5897237.943684491,7712234.347812143,10994816.273746463,5399795.548027453,3903770.477670451,3729254.7006590925,NA,8047975.661985414,NA,2319759.458583333,1646899.0631586902,8470298.96874375,4961140.706940862,3572182.67578125,NA,2282685.333889648,1754931.99776875,NA,1869128.4471562502,NA,8850662.990487136,5550107.860203124,10203699.427621739,3992348.955902892,10219030.928105986,3574725.933797609,2713776.9267656235,2900491.572481533,3505592.780224477,NA,3229604.2410377925,3010722.515939127,3248093.3580249036,2827400.8651505844
M193T453_NEG,193.04999032530304,452.5638427734375,12790948.012641924,NA,8770023.472012483,9665841.274544256,NA,NA,NA,9081959.731649961,12203201.124762496,11788704.801471593,11179109.336102428,12723544.9684801,NA,NA,9341578.309499983,NA,NA,NA,22111456.26274557,7189056.952091674,NA,NA,NA,16337819.037434036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24205882.91226573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1790550.235116076,NA,NA,NA,NA,NA,NA,NA,50610564.05142,2810656.0911818184,NA,NA,NA,10166150.059664065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1866405.1170908196,NA,NA,NA,NA,NA,NA,NA,1643028.5235357159,NA,NA,27534846.745767802,NA,NA,2176302.4155117217,NA,11590801.562179694,5185558.802518769,22739665.061562482,31250746.89030356,NA,12087229.132333329,16239495.31318752,24152532.482640594,NA,NA,NA,3014631.590351566,67708882.3061606,NA,36249054.06389061,NA,4727866.832527339,14447987.44694922,34697550.05389736,NA,NA,NA,NA,NA,NA,NA,NA,NA,10654550.652800338,NA,9817761.586293735,3454741.5650555543,17632584.937781233,11406393.193872401,NA,15054838.41787949,4353470.368332883,45826508.18943752,11776421.465664053
M195T421_NEG,195.0656079039468,421.2995910644531,160309256.68075526,144268213.30276567,162973010.82820824,170472693.7684816,154583573.86456674,151776984.1315507,167388142.36569574,77468395.37642981,67610070.96126288,167348972.7861188,159077186.67954957,160244308.75057638,NA,NA,44545509.7823864,724149090.0855081,143618316.371478,NA,212502261.45639044,NA,27334645.861988623,13100932.34246971,36997305.94062502,209344231.03153113,NA,NA,11342435.878958313,9274161.291809026,168932583.19259742,12287271.145528857,NA,16005084.229336806,133727176.32374132,NA,NA,61281406.07534623,32494019.44045842,83246472.68296875,NA,10384951.194892414,10882104.314480111,13400324.785500014,NA,89090687.25397922,146639528.8393698,50764488.840812474,NA,NA,17479954.203379706,NA,9075363.375052737,NA,15154514.90302282,NA,NA,13783556.027007805,680036077.0190988,NA,NA,175361862.3225,NA,NA,NA,92676261.181805,66639272.51752612,9989530.907377928,18084711.10587044,NA,NA,NA,NA,116025742.05526213,36302602.84400562,116739259.27144131,15407486.56765747,128505848.02807027,NA,NA,NA,NA,NA,9673304.541999996,8143231.370432119,NA,4358740.991087619,NA,NA,410642561.3465877,NA,NA,NA,NA,NA,96091263.48935002,113763064.54080266,148420360.87938747,41857921.84112111,73493291.60171807,93857270.85950674,82835148.19905213,19568856.201351587,13009113.597977275,24306186.967082065,16335346.45101562,161357506.5606296,NA,NA,NA,NA,51421923.395841025,319504790.9219006,848811567.6035607,NA,NA,14447461.503855275,NA,NA,229986078.00669107,268492398.96789265,58556630.1913001,109214183.24420016,391492906.79482245,71690468.29423179,70113181.10249364,49882134.13466409,55353295.03606862,NA,61555094.69577835,15147958.333201157,111818680.22193761,34965846.526535705
M195T459_NEG,195.06561400387585,459.11907958984375,33736906.38181432,NA,35773099.3892721,NA,NA,25727082.571593747,32743623.130402576,NA,NA,34068044.37416358,34928285.33356624,37114738.227552645,NA,NA,NA,149632351.36674973,48036879.09784719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48698972.66225091,NA,NA,20080874.46166664,NA,87487495.63589077,NA,NA,NA,NA,NA,NA,53009517.09041365,NA,NA,NA,NA,NA,NA,7191411.493760154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45264261.98143054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95249533.5046121,NA,NA,NA,NA,NA,NA,52862905.43308657,NA,NA,NA,NA,61002364.44596356,NA,NA,NA,NA,NA,NA,NA,NA,NA,14441593.895696165,NA,NA,NA,NA,NA,NA,NA,NA,47950131.59891278,NA,16191122.872277996,NA,NA,NA,NA,NA,NA,NA,NA,77667926.38290627,15029512.931999944
M199T465_NEG,199.09698974715894,464.52003479003906,25243691.722757794,29849067.622232426,21239586.00695629,26696311.225135423,19850682.765164148,NA,25405599.97312502,NA,NA,22561657.286562495,24125443.542062435,22876900.9731875,12427546.87272659,24018139.29899997,67720377.03824572,51336664.05468761,74342531.93060851,28080667.53307027,45396191.09850781,NA,NA,19736183.753324993,NA,13076096.545078177,NA,16553080.997943746,NA,NA,32534361.64447194,47548718.98032814,10677847.3846354,36538959.818128936,39029723.23494879,24136817.35500003,NA,16229551.541520843,11520549.509355461,NA,NA,NA,25775246.85203127,24307709.76316875,17423495.586650025,24064626.086718716,26186901.762656204,28010214.702499952,NA,NA,NA,NA,NA,20306002.810351495,NA,17700185.742937516,13491556.159660155,26422220.8378688,50265466.91064842,NA,22090891.106484342,81552350.85807276,NA,NA,21231732.08783599,NA,NA,12521610.532012489,NA,NA,NA,15653373.787406255,14147765.730881233,22556793.41343743,NA,41396351.66595707,20899260.761062536,30214362.783468757,NA,NA,NA,14807530.753207017,NA,37137696.505800076,NA,NA,NA,NA,NA,NA,NA,NA,12600700.460687479,NA,NA,NA,NA,36277617.94511459,NA,19777686.40025393,NA,37100299.9236429,15881234.759718783,17159833.665000018,9679394.283899995,NA,33183417.255281325,NA,NA,NA,18798337.428749993,10815314.909140617,NA,26794859.154578194,NA,NA,NA,NA,NA,52770153.58125005,19707124.381312452,36816497.88274996,16037671.881196817,NA,NA,6453783.239089047,NA,NA,NA,13001249.254199995,NA,NA,NA
M200T452_NEG,200.1284828291037,451.8688049316406,NA,2325841.854171882,NA,NA,2477752.367418838,2802988.2714882777,2308750.3052578247,NA,NA,2693326.7272600513,1831645.5477828113,2548122.7439179616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1844901.5082519515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130337.921881243,NA,NA,921833.3487390607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968167.3306250016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1907149.0917562523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2491694.723756252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1555932.3316489959,NA,NA,NA,NA,NA
M202T102_NEG,202.07149022447803,102.42877197265625,NA,2002972.9732598949,2551163.625703123,1891364.1183105481,1885570.5790880867,2768674.1925331242,3066873.5628945306,1439629.6936562487,2922653.38154427,2613743.4029173455,2865546.499596094,2421935.3747715624,2051900.1027078114,2248815.7170873703,NA,NA,7014772.06973594,NA,6667981.723365623,NA,3580657.6475877846,3661869.9795071865,4626998.591993749,NA,NA,NA,NA,NA,NA,3680640.1672895825,2957150.3587396857,2801438.025961915,NA,NA,1489134.403698047,2079167.7890976565,2517598.072376954,9767747.28637768,2853343.621445625,NA,2974812.7463628245,4509737.748437307,NA,NA,4000149.1206487487,4590937.086700781,NA,2867086.904323661,4719420.750083986,NA,NA,3421751.975794138,2019044.5564072258,NA,2486745.9500378896,4662730.406010154,NA,3052657.967481929,NA,NA,1483938.187413574,3187115.936229999,3610076.925684898,5923427.6046843715,NA,2128603.8804507805,NA,NA,NA,3500629.814447344,2958996.2409559228,2875386.4757023435,1185388.3466525387,4692429.193642342,NA,5350391.343050257,1609536.0920100573,1519421.396031484,NA,3018805.567279845,NA,3074915.3199299998,NA,3201062.213238282,2005699.983385936,1479144.4696142573,NA,5233821.110553752,NA,NA,2035262.3823027322,NA,NA,2267763.849244445,7649030.433737501,7708231.232334379,1432022.8942770304,2476508.946823439,2698466.728800001,5278324.694335942,5559302.433849609,4176661.403789061,1892313.0255640629,NA,5147067.946897224,NA,NA,1051289.4784811381,4721378.93332617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1187729.4152614593,NA,NA,NA,1774781.7018120533,6585982.392093128,NA,NA,NA,4009840.8809736604,1778681.8088745526
M206T416_NEG,206.0817417805054,415.6823272705078,NA,NA,NA,NA,NA,2887679.765335938,NA,5711475.468234357,4373654.388565616,1820936.0608242208,2269072.1603320315,3442485.3056976357,NA,NA,NA,13610723.930843767,NA,1346268.9506640632,NA,NA,NA,6769532.1968066385,NA,3797860.1348347273,NA,NA,NA,NA,77436709.62302455,NA,NA,NA,NA,3763070.5488202996,NA,NA,NA,2225435.7357141986,NA,NA,NA,NA,NA,10236505.246613828,NA,1105712.6667685548,NA,3089700.190020087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58004998.528346084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3620614.4049778613,NA,NA,3901713.764507806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1413426.8628046904,NA,NA,NA,1282984.2340605485,NA,4858939.406393662,3541041.4397463547,NA,NA,NA,872534.2866882841,1606968.7609505188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1393530.0560796894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M206T392_NEG,206.0817557800534,391.8322296142578,NA,NA,NA,NA,2345934.6852330696,2170628.4778718743,NA,5887522.150530133,5782548.830729153,2189430.063802729,2146380.6594375065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5855942.329379893,NA,NA,NA,NA,82490729.38976274,NA,NA,NA,6694239.712430065,5513145.078359388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92423175.23826565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3841909.878144956,NA,NA,NA,NA,12352049.317394203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1838765.8640007882,NA,NA,NA,NA,NA,2150805.038495534,NA,NA,NA,1930323.9331720523,NA,NA,NA,NA,10419707.337047895,NA,NA,NA,1337457.1091308566,NA,21270194.836623892,1642386.0816796885,NA,NA,NA,NA,NA,NA,1943451.264702005,800016.5693203093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M209T609_NEG,209.11781896627662,609.1795349121094,8370847.475050005,11810644.847357074,11374375.021625012,12170542.04756242,NA,NA,NA,12487860.071510438,15594807.14316444,15592087.789236935,14135524.81502079,NA,NA,NA,NA,NA,NA,NA,NA,11077284.469535777,22906271.772441078,12214971.215136146,NA,NA,6916382.826017848,5335124.937749967,NA,NA,NA,NA,8145886.596975105,NA,NA,NA,5943858.011463564,NA,NA,NA,NA,NA,NA,NA,4359749.721071445,NA,NA,NA,NA,NA,NA,NA,NA,NA,4174120.3343968713,NA,NA,NA,4161610.7820625105,NA,NA,NA,NA,4732937.613696442,11468629.688964877,NA,NA,NA,NA,NA,NA,3532087.3475593426,4848198.600787541,7374730.969919662,NA,6181981.210406288,9275509.300000064,NA,6645682.285116049,8263003.142142787,NA,NA,5121985.800817694,NA,NA,8287828.641312495,NA,8223110.925464259,NA,NA,NA,NA,NA,NA,NA,6465511.201824975,NA,NA,NA,NA,NA,NA,NA,10207433.01218296,NA,7037171.604036425,NA,NA,NA,6593139.975675002,NA,NA,NA,NA,NA,NA,4574413.031700033,NA,NA,NA,NA,14164689.201039009,26240900.73602799,6348974.013399324,10362987.274285693,15663454.623579523,NA,12883925.48289584,NA,NA,10729958.193062399,NA,NA
M210T610_NEG,210.12101533944997,609.8454895019531,NA,1390760.3327812462,NA,1283389.1288718558,1398256.6333761243,945010.5603750037,1571822.849093751,1509361.2237500027,1929492.110632325,NA,1584817.3165649471,NA,NA,1080728.932499984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1704791.516895509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510350.5853906234,NA,NA,NA,NA,NA,NA,624242.6198531302,637967.5843906268,NA,NA,NA,NA,NA,897638.8353749887,NA,NA,NA,668217.3298453026,2006495.0200446555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897671.9555424019,NA,NA,NA,1775965.097937019,NA,NA,1242628.8296350355,1905442.1671391749,NA,NA,NA,NA,1117067.7330625043,NA,1282115.7175502249,NA,NA,NA,988933.6885999988,NA,NA,NA,NA,1060740.9913030113,NA,3585265.2222269345,NA,1277074.1465376092,2044865.7701694136,658208.2895882825,NA,NA,NA,1179661.2289140513,NA,625480.8062343821
